USERNAME,FIRSTNAME,LASTNAME,DEPT,COMPANY,MANAGER,Requester,S/E/R,AdminID,Managed,Cap,REALNAME,PHONE,HIPRIV,PrivLevel,Description
ITHELP,IT HelpDesk,Shared,IT,Hogwarts School of Witchraft and Wizardry,,,S,,,,ITHelpDesk,,,,
Harry.Potter,Harry,Potter,,Hogwarts School of Witchraft and Wizardry,,,,,,,,,,,
Hermione.Granger,Hermione,Granger,,Hogwarts School of Witchraft and Wizardry,,,,,,,,,,,
Ron.Weasley,Ron,Weasley,,Hogwarts School of Witchraft and Wizardry,,,,,,,,,,,
Albus.Dumbledore,Albus,Dumbledore,,Hogwarts School of Witchraft and Wizardry,Albus.Dumbledore,,,,,,Albus.Percival.Wulfric.Brian.Dumbledore,,,,
Severus.Snape,Severus,Snape,,Hogwarts School of Witchraft and Wizardry,Albus.Dumbledore,,,,,,,,,,
Minerva.McGonagall,Minerva,McGonagall,,Hogwarts School of Witchraft and Wizardry,Albus.Dumbledore,,,,,,,,,,
Filius.Flitwick,Filius,Flitwick,,Hogwarts School of Witchraft and Wizardry,Albus.Dumbledore,,,,,,,,,,
Pomona.Sprout,Pomona,Sprout,,Hogwarts School of Witchraft and Wizardry,Albus.Dumbledore,,,,,,,,,,
Remus.Lupin,Remus,Lupin,,Hogwarts School of Witchraft and Wizardry,Albus.Dumbledore,,,,,,,,,,
Draco.Malfoy,Draco,Malfoy,,Hogwarts School of Witchraft and Wizardry,,,,,,,,,,,
Dobby.House-Elf,Dobby,House-Elf,,Hogwarts School of Witchraft and Wizardry,Dobby.House-Elf,,,,,,,,,,
Luna.Lovegood,Luna,Lovegood,,Hogwarts School of Witchraft and Wizardry,,,,,,,,,,,
HOH.Slytherin,Head of House (Slytherin),Shared,,Hogwarts School of Witchraft and Wizardry,,,S,Severus.Snape,,,HOH.Slytherin,,,,
HOH.Gryffindor,Head of House (Gryffindor),Shared,,Hogwarts School of Witchraft and Wizardry,,,S,Minerva.McGonagall,,,HOH.Gryffindor,,,,
HOH.Ravenclaw,Head of House (Ravenclaw),Shared,,Hogwarts School of Witchraft and Wizardry,,,S,Filius.Flitwick,,,HOH.Ravenclaw,,,,
HOH.Hufflepuff,Head of House (Hufflepuff),Shared,,Hogwarts School of Witchraft and Wizardry,,,S,Pomona.Sprout,,,HOH.Hufflepuff,,,,
MTG.HOG.Potions,MTG HOG Potions,Room,,Hogwarts School of Witchraft and Wizardry,,,R,Severus.Snape,,30,MTG.HOG.Potions,,,,
MTG.HOG.Transfiguration,MTG HOG Transfiguration,Room,,Hogwarts School of Witchraft and Wizardry,,,R,Minerva.McGonagall,,30,MTG.HOG.Transfiguration,,,,
MTG.HOG.Charms,MTG HOG Charms,Room,,Hogwarts School of Witchraft and Wizardry,,,R,Filius.Flitwick,,30,MTG.HOG.Charms,,,,
MTG.HOG.Herbology,MTG HOG Herbology,Room,,Hogwarts School of Witchraft and Wizardry,,,R,Pomona.Sprout,,30,MTG.HOG.Herbology,,,,
DEA.HAL.Wand,DEA HAL Elder Wand,Equipment,,Hogwarts School of Witchraft and Wizardry,,,E,Albus.Dumbledore,,,DEA.HAL.Wand,,,,
DEA.HAL.Stone,DEA HAL Resurrection Stone,Equipment,,Hogwarts School of Witchraft and Wizardry,,,E,Albus.Dumbledore,,,DEA.HAL.Stone,,,,
DEA.HAL.Cloak,DEA HAL Invisibility Cloak,Equipment,,Hogwarts School of Witchraft and Wizardry,,,E,Harry.Potter,,,DEA.HAL.Cloak,,,,
